Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Demand_Supply_Ratio
74,5,Suburban,Regular,80,3.63,Night,Economy,134,354.3852115,14.8
63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125243,1.1886792452830188
55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.568582,4.230769230769231
100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556068,1.5151515151515151
51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.2157353,1.8888888888888888
37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.9398803,3.7
99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533,1.3943661971830985
54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432,2.25
30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.4648783,4.285714285714286
84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.0737865,1.5
49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221,3.5
86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509274,8.6
48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706,2.0
67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.7358926,3.7222222222222223
100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257,6.25
79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000695,11.285714285714286
99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.3393609,11.0
34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.751717,1.4166666666666667
54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796306,2.5714285714285716
77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.5467165,1.7906976744186047
80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171618,3.8095238095238093
74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.4346784,1.3703703703703705
57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.8553699,1.5
97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322,1.4696969696969697
52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.977217,3.7142857142857144
51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711771,1.3783783783783783
87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179,1.6730769230769231
91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.3943924,2.1666666666666665
85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556,2.5
57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941798,2.7142857142857144
28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.2426677,3.5
58,30,Urban,Regular,32,4.14,Night,Economy,75,256.3738037,1.9333333333333333
31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193486,3.4444444444444446
27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844,2.4545454545454546
90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909,1.2
54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718,6.75
23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.3850222,2.5555555555555554
94,64,Urban,Regular,62,4.87,Night,Economy,166,744.0359811,1.46875
86,20,Suburban,Silver,51,3.75,Morning,Premium,110,412.2574631,4.3
79,55,Suburban,Regular,91,4.39,Morning,Economy,48,189.560565,1.4363636363636363
73,13,Urban,Regular,93,3.95,Night,Economy,90,357.0434722,5.615384615384615
74,23,Urban,Regular,45,4.07,Morning,Premium,99,417.1740954,3.217391304347826
26,11,Urban,Gold,10,4.22,Morning,Premium,69,314.8447103,2.3636363636363638
99,30,Urban,Regular,74,4.21,Morning,Premium,160,629.9546011,3.3
80,42,Urban,Gold,85,4.22,Night,Economy,131,473.561754,1.9047619047619047
78,35,Rural,Regular,5,4.35,Evening,Premium,100,317.8809578,2.2285714285714286
63,6,Urban,Gold,29,4.79,Evening,Premium,24,132.4992195,10.5
25,8,Rural,Regular,30,4.44,Night,Economy,115,430.785851,3.125
100,50,Urban,Regular,20,4.14,Evening,Economy,127,350.2265836,2.0
46,8,Urban,Silver,32,4.81,Afternoon,Economy,112,466.4274793,5.75
59,29,Urban,Regular,90,4.3,Night,Economy,145,651.730389,2.0344827586206895
21,11,Rural,Gold,18,4.2,Morning,Premium,49,266.3480732,1.9090909090909092
64,7,Rural,Silver,48,4.67,Evening,Economy,64,266.3853768,9.142857142857142
52,22,Suburban,Gold,72,3.6,Morning,Premium,101,303.8032264,2.3636363636363638
100,56,Suburban,Silver,67,4.2,Evening,Economy,169,461.9661914,1.7857142857142858
83,72,Rural,Regular,25,4.62,Night,Premium,45,201.0575406,1.1527777777777777
89,10,Rural,Silver,36,4.12,Afternoon,Premium,13,94.21444739,8.9
100,37,Rural,Silver,47,4.7,Afternoon,Economy,142,546.8574477,2.7027027027027026
71,7,Urban,Gold,31,4.83,Morning,Premium,60,292.7468301,10.142857142857142
94,26,Suburban,Regular,0,3.94,Afternoon,Premium,40,150.9060377,3.6153846153846154
52,23,Urban,Regular,41,4.23,Evening,Economy,134,534.9066334,2.260869565217391
27,15,Urban,Silver,31,4.95,Afternoon,Economy,103,315.265403,1.8
88,62,Urban,Regular,62,4.82,Afternoon,Economy,162,601.2360266,1.4193548387096775
48,38,Suburban,Silver,64,4.97,Night,Premium,152,701.469573,1.263157894736842
53,35,Suburban,Regular,1,3.67,Morning,Premium,88,392.0078846,1.5142857142857142
31,12,Suburban,Gold,34,4.7,Night,Economy,105,331.8375249,2.5833333333333335
56,34,Suburban,Silver,1,4.56,Afternoon,Economy,121,307.5259291,1.6470588235294117
48,35,Rural,Gold,47,4.26,Morning,Economy,26,68.271745,1.3714285714285714
93,66,Suburban,Silver,22,3.91,Night,Economy,180,765.4397486,1.4090909090909092
49,18,Rural,Silver,62,4.92,Afternoon,Economy,62,168.3662892,2.7222222222222223
72,33,Rural,Gold,63,4.25,Evening,Economy,132,351.773619,2.1818181818181817
62,11,Suburban,Gold,37,4.23,Morning,Premium,71,363.345753,5.636363636363637
39,15,Suburban,Regular,53,4.6,Evening,Premium,38,201.7146763,2.6
67,56,Urban,Gold,49,4.22,Afternoon,Premium,23,121.439999,1.1964285714285714
88,15,Urban,Regular,39,4.51,Afternoon,Economy,137,598.7750233,5.866666666666666
29,16,Urban,Silver,75,4.11,Morning,Premium,80,371.1242881,1.8125
100,24,Urban,Silver,88,4.49,Night,Economy,56,173.6669675,4.166666666666667
98,43,Suburban,Gold,62,4.98,Morning,Economy,130,538.518528,2.2790697674418605
35,10,Rural,Gold,40,3.54,Night,Economy,75,281.962567,3.5
58,14,Rural,Gold,10,3.77,Morning,Economy,95,258.0144597,4.142857142857143
22,7,Urban,Gold,53,4.43,Morning,Premium,98,476.2019962,3.142857142857143
84,37,Suburban,Regular,94,3.83,Night,Economy,28,124.6455032,2.27027027027027
91,14,Suburban,Silver,19,4.78,Night,Premium,19,111.1127149,6.5
56,29,Urban,Gold,67,4.49,Afternoon,Economy,125,421.8171879,1.9310344827586208
97,21,Rural,Regular,36,3.72,Evening,Premium,23,134.0510145,4.619047619047619
57,47,Urban,Gold,26,3.8,Morning,Economy,30,132.4032477,1.2127659574468086
94,27,Suburban,Silver,100,3.6,Night,Premium,172,547.9814624,3.4814814814814814
84,6,Suburban,Gold,24,3.74,Morning,Economy,68,281.9682458,14.0
40,11,Rural,Silver,1,4.24,Night,Premium,35,182.4663214,3.6363636363636362
65,36,Suburban,Silver,20,4.39,Night,Premium,87,313.7742266,1.8055555555555556
35,22,Urban,Silver,28,4.88,Afternoon,Premium,116,422.886661,1.5909090909090908
40,30,Urban,Regular,67,4.03,Evening,Premium,143,529.6967147,1.3333333333333333
61,45,Urban,Silver,6,4.99,Evening,Economy,10,25.99344945,1.3555555555555556
50,14,Urban,Gold,98,3.52,Night,Premium,109,351.5699575,3.5714285714285716
98,25,Suburban,Silver,30,4.76,Afternoon,Economy,60,154.6871597,3.92
54,37,Suburban,Regular,41,4.69,Afternoon,Premium,16,106.5920823,1.4594594594594594
37,13,Rural,Regular,31,4.66,Afternoon,Economy,35,132.1665679,2.8461538461538463
78,41,Urban,Silver,12,4.99,Afternoon,Economy,22,76.22496122,1.9024390243902438
84,21,Rural,Gold,88,3.5,Afternoon,Economy,146,598.94004,4.0
44,32,Suburban,Silver,51,4.2,Afternoon,Premium,168,563.1508996,1.375
25,11,Urban,Silver,92,3.91,Night,Economy,115,310.1546163,2.272727272727273
38,13,Urban,Gold,38,4.46,Evening,Premium,28,145.1375686,2.923076923076923
85,25,Urban,Silver,21,4.03,Morning,Economy,73,323.5576858,3.4
31,13,Suburban,Gold,87,4.04,Evening,Economy,11,31.56567616,2.3846153846153846
67,6,Rural,Regular,25,4.45,Evening,Premium,31,144.4626376,11.166666666666666
77,11,Rural,Silver,70,3.82,Night,Premium,63,252.4930471,7.0
32,11,Suburban,Silver,30,3.53,Afternoon,Premium,32,146.5127744,2.909090909090909
71,30,Rural,Regular,60,4.83,Evening,Premium,156,501.80135,2.3666666666666667
65,38,Urban,Regular,13,4.77,Morning,Premium,132,610.7325515,1.7105263157894737
64,29,Urban,Silver,66,3.79,Night,Premium,37,194.2623994,2.206896551724138
48,38,Urban,Silver,45,4.17,Afternoon,Economy,87,318.210126,1.263157894736842
76,42,Rural,Gold,95,3.93,Morning,Economy,180,512.6251102,1.8095238095238095
76,53,Urban,Regular,77,3.67,Afternoon,Premium,179,555.8919188,1.4339622641509433
71,14,Suburban,Silver,8,4.44,Night,Economy,76,242.1588608,5.071428571428571
76,9,Urban,Silver,64,4.16,Evening,Economy,10,41.40499128,8.444444444444445
51,14,Rural,Gold,16,3.51,Night,Premium,30,180.8865537,3.642857142857143
88,38,Rural,Gold,29,3.73,Evening,Premium,167,537.8971059,2.3157894736842106
60,24,Rural,Gold,5,3.79,Afternoon,Premium,154,556.6629286,2.5
73,55,Rural,Regular,55,4.2,Afternoon,Economy,52,158.5563431,1.3272727272727274
23,10,Urban,Silver,80,3.88,Afternoon,Economy,22,59.4454065,2.3
74,27,Suburban,Silver,51,3.75,Morning,Premium,111,334.1449975,2.740740740740741
49,6,Suburban,Gold,18,4.41,Night,Premium,148,443.7750198,8.166666666666666
31,8,Rural,Gold,7,3.57,Night,Economy,35,145.2420374,3.875
57,46,Rural,Regular,42,4.39,Morning,Economy,56,210.6317666,1.2391304347826086
64,19,Suburban,Regular,35,4.02,Afternoon,Economy,39,152.2291926,3.3684210526315788
86,76,Suburban,Regular,84,4.99,Night,Economy,149,612.4467268,1.131578947368421
54,28,Suburban,Regular,73,3.56,Morning,Premium,51,250.2858824,1.9285714285714286
85,37,Rural,Gold,10,3.76,Night,Premium,61,309.0825447,2.2972972972972974
58,15,Rural,Regular,14,4.76,Night,Premium,12,94.1609177,3.8666666666666667
96,27,Rural,Gold,21,4.37,Night,Premium,57,243.9373065,3.5555555555555554
58,31,Suburban,Silver,32,4.87,Evening,Premium,85,331.1930539,1.8709677419354838
77,45,Suburban,Silver,88,4.16,Morning,Economy,151,595.2312212,1.711111111111111
93,73,Rural,Regular,78,3.81,Night,Premium,106,465.9626816,1.273972602739726
44,11,Rural,Regular,56,3.83,Afternoon,Premium,18,104.7520101,4.0
20,10,Rural,Regular,54,4.12,Morning,Premium,168,784.055126,2.0
70,40,Suburban,Regular,9,3.77,Evening,Economy,130,382.9299379,1.75
42,12,Rural,Gold,92,4.5,Afternoon,Economy,123,319.2967131,3.5
87,33,Rural,Regular,53,4.15,Evening,Economy,143,640.1373391,2.6363636363636362
70,43,Suburban,Gold,47,4.31,Morning,Economy,57,243.4933854,1.627906976744186
61,15,Urban,Gold,29,4.49,Afternoon,Economy,32,135.0058741,4.066666666666666
71,36,Suburban,Silver,69,4.37,Morning,Economy,110,392.9639433,1.9722222222222223
81,33,Suburban,Regular,41,4.93,Afternoon,Premium,162,617.2885001,2.4545454545454546
87,64,Rural,Silver,69,4.55,Evening,Premium,65,310.7883995,1.359375
85,65,Suburban,Regular,73,4.65,Afternoon,Premium,165,770.0708908,1.3076923076923077
91,65,Urban,Regular,40,3.58,Evening,Economy,141,373.5047076,1.4
83,57,Rural,Silver,80,4.6,Night,Premium,172,814.4195559,1.456140350877193
64,10,Suburban,Gold,75,3.61,Morning,Premium,155,473.3466933,6.4
69,22,Rural,Silver,25,4.41,Night,Premium,74,266.7677789,3.1363636363636362
37,12,Rural,Silver,15,3.73,Evening,Economy,142,369.3616589,3.0833333333333335
93,28,Urban,Silver,63,3.9,Evening,Economy,38,111.7239412,3.3214285714285716
66,49,Rural,Gold,42,4.56,Afternoon,Economy,124,429.9483561,1.346938775510204
47,36,Rural,Silver,100,4.2,Morning,Economy,103,414.7783003,1.3055555555555556
71,30,Rural,Regular,45,4.16,Evening,Premium,53,227.18257,2.3666666666666667
58,19,Urban,Silver,47,3.97,Evening,Economy,77,247.4420018,3.0526315789473686
100,18,Suburban,Silver,50,4.89,Morning,Premium,51,213.8232969,5.555555555555555
94,28,Urban,Regular,59,4.45,Night,Economy,173,652.587891,3.357142857142857
49,6,Rural,Silver,23,4.65,Night,Premium,69,289.6463054,8.166666666666666
42,7,Rural,Gold,90,3.67,Evening,Economy,32,123.7624693,6.0
79,63,Urban,Gold,56,4.66,Evening,Premium,70,292.5906289,1.253968253968254
59,5,Rural,Gold,17,4.97,Evening,Premium,143,440.9395108,11.8
54,7,Urban,Regular,91,3.75,Night,Economy,97,298.3226184,7.714285714285714
60,6,Rural,Silver,65,4.76,Morning,Economy,168,629.2044296,10.0
26,13,Suburban,Silver,4,3.63,Night,Premium,123,441.9961924,2.0
90,10,Rural,Silver,59,4.44,Morning,Premium,147,691.5012906,9.0
34,12,Suburban,Silver,38,4.18,Afternoon,Economy,24,106.9485906,2.8333333333333335
80,34,Suburban,Silver,84,3.8,Night,Economy,174,561.438522,2.3529411764705883
21,7,Rural,Regular,58,4.31,Morning,Premium,75,328.4583569,3.0
97,71,Suburban,Silver,52,4.32,Evening,Economy,36,133.3873831,1.3661971830985915
64,7,Suburban,Regular,92,4.58,Evening,Premium,16,114.6992021,9.142857142857142
47,34,Rural,Gold,16,4.38,Evening,Premium,46,237.143389,1.3823529411764706
44,28,Rural,Gold,30,3.93,Evening,Premium,42,157.1065717,1.5714285714285714
21,9,Suburban,Gold,13,4.01,Evening,Economy,127,431.2515977,2.3333333333333335
57,37,Urban,Gold,59,3.92,Evening,Economy,159,585.8075882,1.5405405405405406
62,5,Rural,Silver,51,4.4,Afternoon,Economy,160,647.2043749,12.4
25,6,Urban,Gold,60,3.91,Evening,Premium,145,559.5788398,4.166666666666667
92,33,Suburban,Silver,70,3.69,Evening,Premium,46,173.1505323,2.787878787878788
38,7,Rural,Gold,46,3.79,Night,Economy,78,198.1704675,5.428571428571429
99,31,Urban,Silver,0,3.54,Morning,Economy,50,192.7088692,3.193548387096774
35,7,Rural,Regular,65,4.19,Night,Economy,65,165.0758242,5.0
30,13,Urban,Gold,53,3.68,Night,Premium,124,379.4680329,2.3076923076923075
28,6,Urban,Gold,53,4.48,Night,Premium,148,461.1095538,4.666666666666667
59,47,Rural,Silver,73,3.54,Night,Economy,75,234.5672446,1.2553191489361701
24,13,Urban,Silver,50,4.26,Night,Premium,141,540.0620307,1.8461538461538463
21,6,Suburban,Regular,15,3.81,Evening,Premium,80,318.8415033,3.5
84,54,Suburban,Silver,59,4.98,Afternoon,Premium,43,196.3151415,1.5555555555555556
100,50,Urban,Silver,83,4.91,Morning,Premium,173,622.4914304,2.0
30,11,Urban,Silver,99,4.96,Evening,Economy,83,349.6745279,2.727272727272727
45,35,Rural,Regular,0,4.58,Afternoon,Premium,41,206.1473319,1.2857142857142858
53,35,Urban,Gold,35,3.92,Afternoon,Premium,166,635.9330545,1.5142857142857142
65,41,Rural,Gold,51,3.57,Night,Premium,48,251.1121418,1.5853658536585367
93,6,Rural,Silver,85,4.47,Night,Economy,107,324.0987674,15.5
28,5,Rural,Regular,69,4.49,Morning,Premium,132,425.4887348,5.6
38,8,Urban,Silver,78,3.57,Night,Economy,114,470.2690237,4.75
25,6,Urban,Regular,69,4.45,Evening,Premium,94,398.051726,4.166666666666667
76,23,Rural,Regular,64,3.57,Night,Premium,115,564.931725,3.3043478260869565
22,7,Suburban,Gold,73,4.91,Morning,Premium,73,238.3189915,3.142857142857143
40,5,Rural,Silver,17,4.55,Afternoon,Economy,72,184.9552256,8.0
89,16,Suburban,Regular,27,4.86,Afternoon,Economy,161,624.305616,5.5625
31,21,Suburban,Silver,77,4.83,Afternoon,Economy,107,389.3845083,1.4761904761904763
92,45,Rural,Silver,59,4.23,Morning,Premium,121,574.8939389,2.0444444444444443
58,32,Urban,Gold,92,4.59,Afternoon,Premium,111,517.944462,1.8125
58,20,Rural,Silver,42,3.51,Evening,Economy,125,527.1792012,2.9
36,7,Suburban,Regular,26,4.35,Morning,Economy,59,201.4968308,5.142857142857143
66,40,Rural,Regular,93,4.86,Evening,Economy,153,627.016751,1.65
76,54,Urban,Regular,58,4.05,Evening,Economy,74,218.6251779,1.4074074074074074
55,23,Urban,Gold,46,4.58,Afternoon,Premium,150,654.6765363,2.391304347826087
21,8,Urban,Regular,57,4.78,Night,Premium,84,293.5602166,2.625
61,45,Rural,Gold,42,4.25,Afternoon,Economy,102,421.985262,1.3555555555555556
72,62,Suburban,Regular,48,3.82,Evening,Economy,126,553.7408049,1.1612903225806452
65,18,Rural,Gold,65,4.01,Morning,Economy,111,330.62431,3.611111111111111
20,8,Rural,Silver,27,4.99,Morning,Economy,83,261.4451503,2.5
22,7,Suburban,Silver,16,4.1,Night,Economy,147,520.0637873,3.142857142857143
72,49,Suburban,Gold,15,4.34,Night,Premium,19,117.6332781,1.469387755102041
42,30,Urban,Regular,26,4.79,Afternoon,Economy,138,493.0149509,1.4
100,54,Suburban,Regular,91,4.59,Night,Premium,61,203.1132957,1.8518518518518519
87,32,Suburban,Silver,38,4.76,Afternoon,Economy,114,421.7762985,2.71875
36,8,Urban,Gold,47,4.07,Afternoon,Economy,77,305.0088859,4.5
70,38,Urban,Silver,99,4.19,Morning,Economy,76,317.7718882,1.8421052631578947
41,7,Urban,Gold,4,4.15,Night,Economy,83,364.9140561,5.857142857142857
59,40,Rural,Gold,64,4.72,Night,Economy,157,398.3194964,1.475
33,14,Urban,Regular,38,4.89,Morning,Economy,127,461.3060121,2.357142857142857
70,26,Urban,Silver,15,3.67,Night,Premium,70,358.2348071,2.6923076923076925
45,7,Rural,Regular,87,4.35,Evening,Economy,74,224.3071068,6.428571428571429
98,71,Suburban,Regular,83,4.55,Morning,Economy,139,558.3815496,1.380281690140845
75,63,Urban,Gold,42,4.55,Evening,Premium,138,660.4425623,1.1904761904761905
100,34,Rural,Gold,33,4.75,Night,Economy,156,537.4486717,2.9411764705882355
76,23,Urban,Silver,53,3.94,Evening,Economy,117,480.1043704,3.3043478260869565
32,12,Urban,Silver,69,3.68,Morning,Economy,55,162.2831045,2.6666666666666665
35,23,Suburban,Gold,58,3.78,Afternoon,Economy,164,638.0445145,1.5217391304347827
30,16,Suburban,Gold,89,3.63,Afternoon,Economy,142,420.111098,1.875
75,56,Urban,Regular,66,3.69,Evening,Premium,22,124.4906005,1.3392857142857142
25,6,Rural,Regular,23,3.95,Morning,Premium,55,235.2781176,4.166666666666667
88,16,Suburban,Gold,26,4.18,Morning,Economy,32,127.3314901,5.5
43,26,Rural,Silver,69,4.9,Evening,Economy,107,391.0269904,1.6538461538461537
39,20,Rural,Silver,97,4.25,Morning,Economy,121,319.5430197,1.95
77,63,Suburban,Gold,72,4.56,Morning,Economy,113,380.2853708,1.2222222222222223
41,14,Suburban,Silver,59,4.72,Morning,Premium,49,179.6234225,2.9285714285714284
51,20,Rural,Silver,97,4.8,Morning,Economy,130,452.1126401,2.55
30,10,Suburban,Gold,86,4.95,Evening,Economy,149,565.6691466,3.0
29,8,Urban,Gold,52,4.68,Afternoon,Premium,121,402.1558776,3.625
21,5,Rural,Gold,8,4.44,Afternoon,Premium,159,689.84216,4.2
50,15,Suburban,Regular,62,4.51,Night,Economy,83,307.6469281,3.3333333333333335
61,42,Rural,Gold,11,3.72,Night,Economy,52,186.5262771,1.4523809523809523
67,5,Suburban,Silver,81,4.53,Morning,Premium,14,91.06777716,13.4
73,22,Suburban,Regular,26,4.99,Night,Economy,33,143.8549861,3.3181818181818183
35,18,Urban,Gold,27,3.82,Morning,Economy,158,553.8373591,1.9444444444444444
96,58,Urban,Silver,25,3.61,Morning,Economy,85,336.5684837,1.6551724137931034
38,28,Urban,Gold,8,4.83,Morning,Economy,29,95.02020686,1.3571428571428572
75,28,Urban,Gold,6,4.02,Evening,Premium,171,575.0117219,2.6785714285714284
57,26,Suburban,Silver,92,4.11,Afternoon,Premium,58,264.6757476,2.1923076923076925
36,10,Rural,Gold,65,3.54,Night,Economy,53,185.6179239,3.6
73,27,Rural,Gold,98,3.97,Evening,Economy,57,251.1556503,2.7037037037037037
68,29,Rural,Gold,51,3.99,Evening,Economy,110,299.6890563,2.3448275862068964
25,9,Rural,Gold,11,3.58,Night,Economy,31,92.65681121,2.7777777777777777
97,25,Urban,Regular,95,4.91,Night,Premium,101,332.2293764,3.88
30,7,Rural,Regular,85,3.74,Evening,Economy,44,184.1120897,4.285714285714286
83,7,Suburban,Gold,24,4.9,Morning,Premium,24,124.5817745,11.857142857142858
27,5,Rural,Gold,2,4.3,Evening,Economy,22,60.98181722,5.4
58,21,Suburban,Gold,72,4.14,Afternoon,Economy,10,35.88598786,2.761904761904762
32,15,Urban,Gold,67,3.76,Evening,Premium,23,132.1230188,2.1333333333333333
76,8,Urban,Gold,40,4.68,Afternoon,Economy,157,561.5796822,9.5
21,9,Suburban,Regular,38,4.54,Morning,Economy,179,546.3787899,2.3333333333333335
47,37,Urban,Gold,53,4.69,Night,Economy,41,147.4597413,1.2702702702702702
33,20,Suburban,Regular,97,4.13,Morning,Premium,169,668.892214,1.65
92,66,Rural,Silver,26,3.56,Evening,Economy,19,62.06928479,1.393939393939394
24,7,Rural,Silver,34,3.51,Afternoon,Premium,111,477.7411362,3.4285714285714284
75,9,Rural,Gold,71,4.06,Night,Economy,150,411.0057654,8.333333333333334
89,76,Urban,Gold,35,4.8,Night,Premium,177,650.2985712,1.1710526315789473
67,20,Urban,Regular,42,4.13,Evening,Economy,68,243.2286176,3.35
61,23,Suburban,Silver,51,4.73,Evening,Premium,150,680.9330686,2.652173913043478
80,67,Rural,Regular,80,4.74,Night,Economy,147,432.3072577,1.1940298507462686
66,15,Suburban,Gold,62,4.59,Night,Economy,161,720.7299449,4.4
39,12,Suburban,Regular,54,3.77,Morning,Premium,176,510.454375,3.25
46,22,Urban,Regular,9,4.33,Morning,Economy,128,522.7974319,2.090909090909091
89,74,Rural,Silver,41,4.89,Morning,Premium,115,432.1627923,1.2027027027027026
60,16,Urban,Gold,56,4.33,Night,Premium,126,382.4570671,3.75
58,13,Rural,Regular,99,3.62,Morning,Premium,106,351.4393159,4.461538461538462
68,16,Urban,Silver,93,4.44,Morning,Premium,154,510.1957863,4.25
45,19,Suburban,Silver,71,3.72,Night,Economy,121,313.9264406,2.3684210526315788
91,61,Suburban,Gold,100,4.88,Night,Economy,101,372.229822,1.4918032786885247
39,12,Urban,Regular,70,4.02,Morning,Premium,66,314.4680085,3.25
97,9,Rural,Gold,58,4.32,Evening,Premium,142,491.5779539,10.777777777777779
42,18,Suburban,Silver,39,3.94,Afternoon,Economy,128,527.1558944,2.3333333333333335
27,15,Urban,Gold,11,3.77,Evening,Economy,111,432.8493969,1.8
67,48,Rural,Regular,94,4.3,Evening,Premium,168,544.6027808,1.3958333333333333
69,51,Urban,Regular,75,3.57,Night,Premium,136,470.1827135,1.3529411764705883
69,47,Urban,Regular,65,4.22,Night,Economy,18,53.53910401,1.4680851063829787
93,18,Suburban,Gold,34,3.54,Afternoon,Economy,80,352.0685727,5.166666666666667
84,74,Suburban,Regular,7,4.4,Afternoon,Premium,101,396.3698341,1.135135135135135
96,48,Urban,Gold,41,4.39,Morning,Economy,130,367.7829981,2.0
30,13,Suburban,Gold,72,4.18,Night,Premium,113,352.9356731,2.3076923076923075
60,48,Suburban,Regular,15,4.06,Morning,Economy,78,339.1055826,1.25
72,39,Urban,Regular,39,3.77,Night,Premium,115,347.8959667,1.8461538461538463
31,13,Suburban,Regular,82,4.63,Morning,Economy,108,469.2509136,2.3846153846153846
71,13,Rural,Silver,60,4.3,Night,Premium,62,213.8430201,5.461538461538462
91,61,Rural,Silver,86,4.44,Morning,Premium,129,567.5392185,1.4918032786885247
91,60,Rural,Gold,2,3.53,Evening,Premium,107,492.1790132,1.5166666666666666
32,6,Urban,Silver,13,4.75,Afternoon,Economy,53,173.8874745,5.333333333333333
23,10,Suburban,Gold,47,4.84,Evening,Economy,125,418.1068244,2.3
61,47,Suburban,Silver,100,4.58,Night,Premium,157,658.3040013,1.297872340425532
57,40,Urban,Regular,78,3.62,Afternoon,Economy,171,764.5953414,1.425
89,70,Suburban,Gold,86,4.51,Afternoon,Economy,90,384.209292,1.2714285714285714
64,45,Rural,Gold,22,3.96,Night,Premium,118,404.6018875,1.4222222222222223
91,29,Urban,Regular,82,3.73,Afternoon,Premium,90,446.8170258,3.1379310344827585
91,53,Suburban,Gold,67,4.56,Night,Economy,50,158.1067232,1.7169811320754718
69,37,Suburban,Regular,47,4.39,Evening,Premium,60,284.2362895,1.864864864864865
71,61,Suburban,Regular,79,3.85,Afternoon,Economy,147,591.2989763,1.1639344262295082
38,7,Rural,Silver,28,3.85,Evening,Economy,12,36.00027803,5.428571428571429
100,32,Suburban,Regular,67,3.94,Evening,Premium,162,581.1370846,3.125
65,51,Suburban,Gold,97,4.81,Night,Premium,144,588.1367699,1.2745098039215685
73,38,Urban,Regular,91,4.23,Evening,Premium,86,400.267333,1.9210526315789473
56,25,Suburban,Regular,87,3.73,Evening,Premium,172,575.4102708,2.24
75,55,Rural,Silver,80,4.7,Morning,Economy,69,190.9788527,1.3636363636363635
97,21,Urban,Regular,43,3.79,Afternoon,Premium,106,398.1593839,4.619047619047619
94,71,Rural,Regular,48,4.73,Night,Premium,169,770.8733245,1.323943661971831
53,22,Urban,Silver,28,4.99,Afternoon,Premium,64,211.082023,2.409090909090909
81,8,Rural,Silver,78,4.8,Afternoon,Premium,141,618.4288567,10.125
47,34,Rural,Silver,87,3.53,Morning,Premium,170,739.22712,1.3823529411764706
80,48,Suburban,Regular,13,4.44,Night,Economy,35,128.7410739,1.6666666666666667
75,55,Rural,Gold,54,4.73,Night,Premium,145,584.49173,1.3636363636363635
89,12,Urban,Silver,42,4.73,Afternoon,Economy,102,328.3139822,7.416666666666667
30,13,Rural,Gold,8,4.1,Afternoon,Economy,94,274.6803754,2.3076923076923075
64,5,Rural,Gold,91,4.34,Evening,Premium,21,108.2430435,12.8
55,29,Suburban,Gold,92,4.85,Morning,Economy,44,181.7809396,1.896551724137931
94,76,Suburban,Gold,26,4.7,Morning,Premium,94,405.3179545,1.236842105263158
53,28,Urban,Gold,6,3.67,Evening,Economy,178,775.7916852,1.8928571428571428
29,7,Suburban,Regular,68,3.98,Morning,Economy,114,289.1296809,4.142857142857143
29,17,Urban,Silver,76,3.61,Morning,Economy,166,674.1328476,1.7058823529411764
75,42,Suburban,Silver,38,4.25,Afternoon,Economy,146,479.1199534,1.7857142857142858
74,53,Suburban,Regular,60,3.93,Night,Economy,162,676.4404324,1.3962264150943395
89,75,Urban,Silver,10,4.91,Evening,Economy,16,54.44953819,1.1866666666666668
29,13,Suburban,Gold,44,4.29,Evening,Premium,87,267.740417,2.230769230769231
